                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                 1.2989,                 1.2479,                 1.5686,                0.71475,                0.65636,                0.72013,                0.48603,                0.34755,                 13.987,                0.46104,               0.007327,               0.007327,               0.007327
                     29,                 1.2914,                 1.2253,                 1.5617,                0.76475,                 0.6343,                0.74078,                0.50404,                0.34007,                 16.591,                0.44996,               0.007228,               0.007228,               0.007228
                     30,                  1.284,                 1.2277,                 1.5559,                0.74456,                0.67392,                0.73795,                0.50806,                 0.3292,                  19.87,                0.44813,               0.007129,               0.007129,               0.007129
                     31,                 1.2765,                 1.2107,                 1.5513,                0.79194,                0.63162,                0.72926,                0.49049,                0.34007,                 19.542,                0.45886,                0.00703,                0.00703,                0.00703
                     32,                 1.2735,                 1.2002,                 1.5432,                 0.7874,                0.63707,                0.75167,                0.51302,                0.32835,                  11.63,                0.44476,               0.006931,               0.006931,               0.006931
                     33,                 1.2643,                 1.1929,                 1.5414,                0.76692,                0.67958,                0.76302,                0.52373,                 0.3288,                  11.34,                0.44914,               0.006832,               0.006832,               0.006832
                     34,                 1.2598,                 1.1752,                 1.5347,                0.86532,                0.66351,                0.80286,                0.54495,                0.31905,                 12.947,                0.43597,               0.006733,               0.006733,               0.006733
                     35,                 1.2503,                 1.1568,                  1.524,                0.69702,                0.73656,                0.79036,                0.54653,                0.32399,                 12.458,                0.44391,               0.006634,               0.006634,               0.006634
                     36,                 1.2416,                 1.1473,                 1.5193,                0.85415,                0.67294,                0.78665,                0.54487,                0.32326,                 7.5552,                0.43701,               0.006535,               0.006535,               0.006535
                     37,                 1.2322,                 1.1334,                 1.5119,                0.84639,                0.60264,                0.76017,                0.54003,                0.31789,                 11.763,                0.43717,               0.006436,               0.006436,               0.006436
                     38,                 1.2233,                 1.1219,                 1.5039,                0.89153,                0.63021,                0.78689,                  0.547,                0.31755,                 10.074,                 0.4342,               0.006337,               0.006337,               0.006337
                     39,                 1.2292,                 1.1207,                 1.5067,                0.76644,                0.73617,                0.79911,                0.57158,                0.32856,                 10.005,                0.44257,               0.006238,               0.006238,               0.006238
                     40,                 1.2293,                 1.1143,                 1.5039,                0.85002,                0.68464,                0.79566,                0.56865,                0.31954,                 11.758,                0.43363,               0.006139,               0.006139,               0.006139
                     41,                 1.2164,                  1.104,                 1.4929,                0.80592,                0.70758,                0.80242,                0.56812,                 0.3143,                 12.166,                0.42914,                0.00604,                0.00604,                0.00604
                     42,                 1.2063,                 1.0824,                 1.4824,                0.74225,                0.76071,                0.80873,                0.58186,                0.30609,                  11.18,                 0.4253,               0.005941,               0.005941,               0.005941
                     43,                 1.1904,                 1.0735,                 1.4755,                0.80365,                0.73005,                0.81435,                0.58347,                0.31511,                 9.8381,                0.43236,               0.005842,               0.005842,               0.005842
                     44,                 1.1939,                 1.0699,                 1.4804,                0.75669,                0.76965,                0.82569,                0.58788,                 0.3028,                  9.039,                0.42655,               0.005743,               0.005743,               0.005743
                     45,                  1.184,                 1.0572,                 1.4695,                 0.8231,                0.77006,                 0.8421,                0.59008,                0.30795,                 7.9307,                0.42347,               0.005644,               0.005644,               0.005644
                     46,                 1.1871,                 1.0536,                 1.4682,                0.80552,                0.78358,                0.85039,                0.60195,                0.30856,                 6.1006,                0.42928,               0.005545,               0.005545,               0.005545
                     47,                 1.1699,                 1.0323,                 1.4545,                0.84706,                0.77837,                0.86156,                0.61815,                0.30033,                 5.5628,                0.42216,               0.005446,               0.005446,               0.005446
                     48,                  1.173,                 1.0401,                  1.464,                0.79083,                0.77447,                0.82345,                0.59604,                0.28843,                 10.946,                0.41624,               0.005347,               0.005347,               0.005347
                     49,                 1.1605,                 1.0212,                 1.4468,                0.83352,                0.77212,                0.85518,                0.60531,                0.30359,                 9.9554,                0.42135,               0.005248,               0.005248,               0.005248
                     50,                 1.1652,                 1.0249,                 1.4519,                0.83771,                0.72615,                0.84562,                0.61284,                0.29904,                 11.031,                0.42099,               0.005149,               0.005149,               0.005149
                     51,                 1.1531,                 1.0045,                 1.4412,                0.79099,                0.74008,                 0.8393,                0.59969,                0.29462,                 7.4182,                0.41684,                0.00505,                0.00505,                0.00505
                     52,                 1.1453,                 1.0008,                 1.4352,                0.85569,                0.72809,                0.83542,                 0.6043,                0.29701,                 7.2711,                0.41739,               0.004951,               0.004951,               0.004951
                     53,                 1.1413,                0.99765,                 1.4317,                0.82027,                0.73029,                0.84777,                0.59155,                0.29575,                 6.3187,                0.41916,               0.004852,               0.004852,               0.004852
                     54,                 1.1352,                0.98518,                 1.4279,                0.85878,                0.71298,                0.84721,                0.59355,                0.29702,                 8.6591,                0.41791,               0.004753,               0.004753,               0.004753
                     55,                 1.1316,                0.98009,                 1.4234,                0.82389,                0.75147,                 0.8519,                0.60037,                0.29101,                  12.28,                0.40841,               0.004654,               0.004654,               0.004654
                     56,                  1.128,                0.97139,                 1.4197,                0.85186,                0.73594,                0.85701,                0.60732,                0.29056,                 9.8059,                0.41255,               0.004555,               0.004555,               0.004555
                     57,                 1.1241,                0.96456,                 1.4129,                0.83543,                0.75112,                0.85235,                0.60323,                0.29083,                 8.6499,                0.41161,               0.004456,               0.004456,               0.004456
                     58,                 1.1142,                0.95672,                 1.4099,                0.85481,                0.75131,                0.84999,                0.60943,                0.29023,                  6.309,                0.41249,               0.004357,               0.004357,               0.004357
                     59,                 1.1087,                0.94596,                 1.4028,                0.82511,                0.74505,                0.84743,                0.60267,                0.28705,                 7.3448,                0.41036,               0.004258,               0.004258,               0.004258
                     60,                 1.1093,                0.94728,                 1.4058,                 0.8163,                0.79288,                0.86403,                0.62428,                0.28655,                 8.5282,                0.40913,               0.004159,               0.004159,               0.004159
                     61,                 1.0957,                0.93912,                 1.3953,                0.79901,                0.82573,                0.87341,                0.62974,                0.29091,                 8.0667,                0.40938,                0.00406,                0.00406,                0.00406
                     62,                 1.0963,                0.93278,                 1.3932,                0.85705,                0.75211,                0.86249,                0.63034,                0.28736,                 7.1329,                0.40861,               0.003961,               0.003961,               0.003961
                     63,                 1.0842,                0.92066,                 1.3815,                0.87746,                0.77998,                0.87894,                 0.6346,                0.28327,                 8.8559,                0.40602,               0.003862,               0.003862,               0.003862
                     64,                 1.0908,                 0.9196,                 1.3862,                0.82099,                0.79695,                0.86629,                0.63274,                0.28901,                 6.9417,                 0.4098,               0.003763,               0.003763,               0.003763
                     65,                 1.0879,                0.92477,                 1.3889,                0.83254,                0.74694,                0.86382,                0.62511,                0.29294,                 5.7948,                0.41084,               0.003664,               0.003664,               0.003664
                     66,                 1.0739,                0.90786,                 1.3785,                0.84384,                 0.7744,                0.86052,                0.62492,                0.29039,                 5.7052,                0.40897,               0.003565,               0.003565,               0.003565
                     67,                 1.0778,                0.90739,                  1.379,                0.86243,                 0.7796,                0.86657,                0.62641,                0.28679,                 6.2592,                 0.4059,               0.003466,               0.003466,               0.003466
                     68,                 1.0721,                0.90222,                 1.3714,                0.86146,                0.75899,                0.86301,                0.63293,                0.28044,                 6.3696,                0.40246,               0.003367,               0.003367,               0.003367
                     69,                 1.0585,                0.88884,                 1.3654,                0.87128,                0.78107,                0.86631,                0.63596,                0.27905,                 5.4615,                0.40282,               0.003268,               0.003268,               0.003268
                     70,                 1.0637,                0.89286,                 1.3649,                0.85094,                0.80839,                0.87284,                0.64286,                0.27988,                 6.5902,                0.40079,               0.003169,               0.003169,               0.003169
                     71,                 1.0515,                0.88147,                 1.3595,                0.85468,                0.78807,                0.87706,                0.65015,                0.27685,                 6.4984,                0.40064,                0.00307,                0.00307,                0.00307
                     72,                 1.0486,                0.88007,                   1.36,                0.83787,                 0.8154,                0.88346,                0.64577,                0.27368,                 6.7629,                0.39747,               0.002971,               0.002971,               0.002971
                     73,                 1.0503,                0.87578,                 1.3591,                0.85468,                0.80671,                0.88056,                0.64117,                0.27812,                 6.2533,                0.40024,               0.002872,               0.002872,               0.002872
